"Severity","Rule","Source","Destination","Application","Service","Action","Profile","Type","Detail"
"Medium","Allow-Specific-DB-Server","inside / 10.50.5.10/32","server / 10.60.1.10/32","mysql","application-default","allow","strict","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Medium","Allow-DoT-Explicit-Port","inside / 10.10.5.0/24","outside / any","any","tcp-853","allow","none","port_based_rule_missing_app_id","Rule matches by port (tcp-853) with Application left as 'any', instead of a named App-ID. At least one port (853) is also on the high-risk list. Consider migrating to an explicit application for App-ID-based inspection."
"Medium","Allow-Duplicate-Web-Rule-B","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict","outbound_to_internet","Outbound rule reaching the internet (destination zone 'outside' is internet-facing) though scoped to a specific destination address ('203.0.113.80/32'), not an unrestricted destination, from source zone='inside', address='10.10.5.0/24'."
"Medium","Allow-Duplicate-Web-Rule-B","inside / 10.10.5.0/24","outside / 203.0.113.80/32","ssl","application-default","allow","strict","rule_usage_unused","Panorama reports this rule's status as 'unused' across the firewalls it applies to. Candidate for removal after confirming the observation window is representative."
"Low","Allow-Stale-OneOff-Grant","inside / 10.10.9.10/32","dmz / 10.40.50.5/32","ssl","application-default","allow","strict","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","(ruleset-wide)","","","","","","","missing_explicit_intrazone_internet_deny","No explicit block rule found for the internet-facing zone talking to itself (e.g. untrust -> untrust, any application, drop). PAN-OS allows intrazone traffic by default unless a rule overrides it, unlike interzone traffic which is denied by default. Use 'drop', not 'deny': deny falls back to the matched application's own default deny behavior, which can still send a TCP reset or ICMP unreachable back, revealing that something is listening there. Drop silently discards the packet instead, giving an internet scanner nothing to work with."
"Low","Allow-SSH-Admin-From-Internet","outside / any","dmz / 10.40.10.10/32","ssh","application-default","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","Allow-Temp-Vendor-POC","outside / any","inside / any","any","any","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","Allow-Plain-DNS-Unrestricted","inside / 10.10.5.0/24","outside / any","dns","udp-53","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","Test for POC","server / 10.200.0.0/16","outside / 62.49.10.92/28","https,ssh","any","allow","none","temporary_tag_still_present","Rule signals temporary/POC/test intent via both the rule name and its tags ('poc'). Scope is already restricted, not a broad-exposure concern, but this suggests it was meant to be reviewed and removed at some point. Worth confirming it's still needed."
"Low","Allow-TeamViewer-Vendor-Access","outside / any","inside / 10.10.5.0/24","teamviewer","application-default","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
"Low","Old-Legacy-VPN-Rule","outside / any","inside / 10.10.1.0/24","ipsec","application-default","allow","none","disabled_rule_present","Rule is disabled but still present in the ruleset. Housekeeping candidate for removal if permanently retired."
"Low","Allow-POS-To-CDE-Broad","pos / any","cde / any","any","any","allow","none","rule_usage_partially_used","Panorama reports this rule's status as 'partially used'. It has traffic on some firewalls it applies to but not others. Worth checking whether that's expected (e.g. a device-group rule that only makes sense on some sites) or a targeting mismatch."
